Name,GenType,TM,Pos,GL,X_size,Y_size,NormPos
D1BN_TM10.5_0000_G001_1.png,D1BN,10.5,0000,G,2320,3120,0.0
D1BN_TM10.5_0002_L003_1.png,D1BN,10.5,0002,L,2432,3280,0.00423728813559322
D1BN_TM10.5_0003_G004_1.png,D1BN,10.5,0003,G,2080,4080,0.006382978723404255
D1BN_TM10.5_0005_L006_1.png,D1BN,10.5,0005,L,2560,3488,0.01059322033898305
D1BN_TM10.5_0006_G007_1.png,D1BN,10.5,0006,G,2480,3168,0.01276595744680851
D1BN_TM10.5_0008_L009_1.png,D1BN,10.5,0008,L,2400,3648,0.01694915254237288
D1BN_TM10.5_0010_G001_2.png,D1BN,10.5,0010,G,2272,3232,0.02127659574468085
D1BN_TM10.5_0012_L003_2.png,D1BN,10.5,0012,L,2528,3440,0.025423728813559324
D1BN_TM10.5_0013_G004_2.png,D1BN,10.5,0013,G,2400,3712,0.027659574468085105
D1BN_TM10.5_0015_L006_2.png,D1BN,10.5,0015,L,2528,3600,0.03177966101694915
D1BN_TM10.5_0016_G007_2.png,D1BN,10.5,0016,G,2592,3600,0.03404255319148936
D1BN_TM10.5_0018_L009_2.png,D1BN,10.5,0018,L,2480,3488,0.038135593220338986
D1BN_TM10.5_0020_G001_3.png,D1BN,10.5,0020,G,2272,2064,0.0425531914893617
D1BN_TM10.5_0022_L003_3.png,D1BN,10.5,0022,L,2640,3712,0.046610169491525424
D1BN_TM10.5_0023_G004_3.png,D1BN,10.5,0023,G,2832,4496,0.04893617021276596
D1BN_TM10.5_0025_L006_3.png,D1BN,10.5,0025,L,3104,4080,0.05296610169491525
D1BN_TM10.5_0026_G007_3.png,D1BN,10.5,0026,G,2960,3968,0.05531914893617021
D1BN_TM10.5_0028_L009_3.png,D1BN,10.5,0028,L,3120,4080,0.059322033898305086
D1BN_TM10.5_0030_G001_4.png,D1BN,10.5,0030,G,2752,3872,0.06382978723404255
D1BN_TM10.5_0032_L003_4.png,D1BN,10.5,0032,L,2528,3760,0.06779661016949153
D1BN_TM10.5_0033_G004_4.png,D1BN,10.5,0033,G,2736,4288,0.07021276595744681
D1BN_TM10.5_0035_L006_4.png,D1BN,10.5,0035,L,2944,4176,0.07415254237288135
D1BN_TM10.5_0036_G007_4.png,D1BN,10.5,0036,G,2912,4128,0.07659574468085106
D1BN_TM10.5_0038_L009_4.png,D1BN,10.5,0038,L,3104,4080,0.08050847457627118
